Timestamp,ProfitPercentage
7/1/2016 0:00,30.53100014
7/1/2016 0:15,30.45999908
7/1/2016 0:30,30.03800011
7/1/2016 0:45,27.01300049
7/1/2016 1:00,27.78700066
7/1/2016 1:15,27.71699905
7/1/2016 1:30,27.64599991
7/1/2016 1:45,27.08399963
7/1/2016 2:00,27.78700066
7/1/2016 2:15,27.50600052
7/1/2016 2:30,27.85700035
7/1/2016 2:45,27.01300049
7/1/2016 3:00,25.04400063
7/1/2016 3:15,24.5510006
7/1/2016 3:30,23.56599998
7/1/2016 3:45,21.52599907
7/1/2016 4:00,21.94799995
7/1/2016 4:15,21.45599937
7/1/2016 4:30,22.79199982
7/1/2016 4:45,21.0340004
7/1/2016 5:00,21.17399979
7/1/2016 5:15,20.82299995
7/1/2016 5:30,21.17399979
7/1/2016 5:45,21.17399979
7/1/2016 6:00,22.79199982
7/1/2016 6:15,23.84799957
7/1/2016 6:30,24.34000015
7/1/2016 6:45,23.1439991
7/1/2016 7:00,23.1439991
7/1/2016 7:15,23.77700043
7/1/2016 7:30,23.84799957
7/1/2016 7:45,23.98800087
7/1/2016 8:00,21.66699982
7/1/2016 8:15,22.0890007
7/1/2016 8:30,22.37000084
7/1/2016 8:45,16.39100075
7/1/2016 9:00,17.44599915
7/1/2016 9:15,17.72699928
7/1/2016 9:30,18.50099945
7/1/2016 9:45,19.27499962
7/1/2016 10:00,19.97900009
7/1/2016 10:15,18.50099945
7/1/2016 10:30,18.5720005
7/1/2016 10:45,19.41600037
7/1/2016 11:00,20.11899948
7/1/2016 11:15,19.76799965
7/1/2016 11:30,19.76799965
7/1/2016 11:45,20.32999992
7/1/2016 12:00,19.20499992
7/1/2016 12:15,17.72699928
7/1/2016 12:30,18.6420002
7/1/2016 12:45,18.50099945
7/1/2016 13:00,18.5720005
7/1/2016 13:15,19.6970005
7/1/2016 13:30,19.55599976
7/1/2016 13:45,19.83799934
7/1/2016 14:00,19.55599976
7/1/2016 14:15,19.41600037
7/1/2016 14:30,19.13400078
7/1/2016 14:45,17.02400017
7/1/2016 15:00,17.30500031
7/1/2016 15:15,18.78300095
7/1/2016 15:30,18.85300064
7/1/2016 15:45,19.20499992
7/1/2016 16:00,19.48600006
7/1/2016 16:15,19.62700081
7/1/2016 16:30,18.43099976
7/1/2016 16:45,19.76799965
7/1/2016 17:00,19.13400078
7/1/2016 17:15,20.75200081
7/1/2016 17:30,19.76799965
7/1/2016 17:45,20.68199921
7/1/2016 18:00,20.68199921
